system:index,cc,country,fpop_rate,p2000,p2000_a_1,p2000_a_2,p2000_a_3,p2000_f,p2000_f_1,p2000_f_2,p2000_f_3,p2000_nf_1,p2000_nf_2,p2000_nf_3,pdelt,pdelt_a_1,pdelt_a_2,pdelt_a_3,pdelt_f,pdelt_f_1,pdelt_f_2,pdelt_f_3,pdelt_nf_1,pdelt_nf_2,pdelt_nf_3,region,.geo
00000000000000000000,CD,Chad,0.8686445327655085,8481508.144633988,1379675.4147123627,2497503.5217928602,4604329.208128765,297698.35441062786,80669.37797912606,128097.35318179206,88931.62324970971,1299006.0367332366,2369406.1686110683,4515397.584879056,5753105.290333043,909339.494967165,1933885.3087483242,2909880.486617553,175407.3403063406,62262.43730418908,81780.83540481408,31364.067597337456,847077.057662976,1852104.4733435102,2878516.4190202155,Africa,
00000000000000000014,MI,Malawi,1.5413113638300169,1.1641927293211546E7,5422302.788172659,4990800.642151466,1228823.862887421,38969.297321619044,22164.53766847218,16401.955932762023,402.8037203848362,5400138.250504187,4974398.686218703,1228421.059167036,6268496.017448714,2441290.487502101,2855817.2447550953,971388.2851915183,32340.849758733915,8592.444992513798,2691.5564996185553,21056.848266601562,2432698.042509587,2853125.6882554768,950331.4369249167,Africa,
00000000000000000015,ZA,Zambia,0.7998595791997543,1.085984272653195E7,2889299.6996630635,3613323.0388896912,4357219.987979196,148479.30185700895,75133.4295224868,64359.106646877655,8986.765687644482,2814166.2701405766,3548963.9322428135,4348233.2222915515,5752124.202839917,1148374.5103620999,1633512.7768773376,2970236.9156004786,62904.88697497662,30289.37313729535,32368.44405719743,247.0697804838419,1118085.1372248046,1601144.33282014,2969989.845819995,Africa,
00000000000000000016,ZI,Zimbabwe,4.106249515404037,1.3235197511131685E7,3557991.4242088366,5035413.237478035,4641792.849444814,42292.303419086325,7967.4790028087245,32606.285707471565,1718.538708806038,3550023.945206028,5002806.951770563,4640074.310736008,3290671.1623587767,1367312.6598170658,1100451.2499669867,822907.2525747241,43177.82218982198,7606.858878868878,33925.186724420506,1645.7765865325928,1359705.800938197,1066526.0632425663,821261.4759881916,Africa,
00000000000000000017,BC,Botswana,6.2977967440558364,1891185.396829451,464199.0068385957,779124.0757675064,647862.3142233489,2136.952637844739,1631.9397376114703,505.01290023326874,0.0,462567.0671009843,778619.0628672731,647862.3142233489,568230.4458059054,270323.01497156627,190935.81218267017,106971.618651669,4043.653470045739,893.8595535520849,3149.7939164936543,0.0,269429.1554180142,187786.0182661765,106971.618651669,Africa,
00000000000000000018,WA,Namibia,0.23998620779385627,2054268.135731962,1361203.652929477,374189.6263009618,318874.8565015234,15116.3522010667,13830.727583251683,1285.6246178150177,0.0,1347372.9253462253,372904.0016831468,318874.8565015234,593377.5726521305,200510.56278422973,166398.95571330836,226468.05415459245,1047.8697015678856,480.6786453759644,567.1910561919212,0.0,200029.88413885375,165831.76465711644,226468.05415459245,Africa,
00000000000000000019,AO,Angola,1.0063962609324162,1.5255449341130015E7,4415028.563655355,3200970.2239550785,7639450.5535195805,25788.516894828634,24327.942889470916,1013.4738603830922,447.1001449746244,4390700.620765884,3199956.7500946955,7639003.453374606,1.0098796099006962E7,569064.5516305836,1784577.935439567,7745153.611936813,17180.665427269065,7480.879227066971,5004.9043774234315,4694.881822778664,561583.6724035166,1779573.0310621436,7740458.730114034,Africa,
0000000000000000001a,BY,Burundi,9.359870637336208,6705218.047596872,1180569.526359844,3873289.9818653585,1651358.539371669,436.9107346362927,250.55383133888245,167.11509980033424,19.241803497076035,1180318.9725285051,3873122.8667655583,1651339.297568172,4411183.210671032,562292.5089240909,2146260.071809755,1702630.629937186,2690.3250295290027,1052.6759432277695,1608.375255350973,29.273830950260162,561239.8329808632,2144651.696554404,1702601.3561062356,Africa,
0000000000000000001b,RW,Rwanda,0.7687837436397258,8058861.122046947,1250590.2229340689,5465146.763851548,1343124.13526133,2548.4735486755185,219.09061458204306,2329.3829340934753,0.0,1250371.132319487,5462817.380917454,1343124.13526133,3584854.7262104414,357084.49748085736,2444275.3289615423,783494.8997680421,871.5297386566798,108.52547404672586,763.0042646099539,0.0,356975.97200681065,2443512.3246969325,783494.8997680421,Africa,
0000000000000000001c,SF,South Africa,1.101031419909289,5.1103954210037425E7,1.3781495095257876E7,1.3836970381430546E7,2.3485488733349E7,116601.83018966013,19571.43271601966,6341.489681889243,90688.90779175123,1.3761923662541857E7,1.3830628891748657E7,2.3394799825557247E7,1.0910442925910575E7,642169.1808543378,2239086.830946082,8029186.914110157,27408.985188049104,1727.614806547192,2806.5286694899205,22874.841712011992,640441.5660477906,2236280.302276592,8006312.072398145,Africa,
0000000000000000001d,LT,Lesotho,-1.7158243421253654,2129756.260201401,971158.9111635352,873651.5251131114,284945.82392475463,761.0410327911377,761.0410327911377,0.0,0.0,970397.8701307441,873651.5251131114,284945.82392475463,316760.4333583791,84955.06042261048,174639.72180904838,57165.651126720266,-194.21462154388428,-194.21462154388428,0.0,0.0,85149.27504415436,174639.72180904838,57165.651126720266,Africa,
