system:index,cc,country,fpop_rate,p2000,p2000_a_1,p2000_a_2,p2000_a_3,p2000_f,p2000_f_1,p2000_f_2,p2000_f_3,p2000_nf_1,p2000_nf_2,p2000_nf_3,pdelt,pdelt_a_1,pdelt_a_2,pdelt_a_3,pdelt_f,pdelt_f_1,pdelt_f_2,pdelt_f_3,pdelt_nf_1,pdelt_nf_2,pdelt_nf_3,region,.geo
000000000000000000b8,SY,Syria,0.0,2.0009187386727594E7,4117665.366656313,6992674.227807582,8898847.792263698,0.0,0.0,0.0,0.0,4117665.366656313,6992674.227807582,8898847.792263698,2633972.1205420187,663109.2253737082,1022550.9977327518,948311.8974355587,0.0,0.0,0.0,0.0,663109.2253737082,1022550.9977327518,948311.8974355587,SW Asia,
000000000000000000b9,LE,Lebanon,0.0,3849768.6037308746,522484.0163808133,1191361.6774876933,2135922.909862368,0.0,0.0,0.0,0.0,522484.0163808133,1191361.6774876933,2135922.909862368,3089235.877798038,219914.2664642094,848630.823785504,2020690.787548325,0.0,0.0,0.0,0.0,219914.2664642094,848630.823785504,2020690.787548325,SW Asia,
000000000000000000ba,SY,Syria,0.0,13276.53458423636,8979.587979891468,4296.946604344892,0.0,0.0,0.0,0.0,0.0,8979.587979891468,4296.946604344892,0.0,6237.719699059529,3013.0957884237614,3224.6239106357684,0.0,0.0,0.0,0.0,0.0,3013.0957884237614,3224.6239106357684,0.0,SW Asia,
000000000000000000bb,SY,Syria,0.0,27158.802444846493,22557.788996281462,4601.01344856503,0.0,0.0,0.0,0.0,0.0,22557.788996281462,4601.01344856503,0.0,10915.46098441412,9246.30418764203,1669.1567967720903,0.0,0.0,0.0,0.0,0.0,9246.30418764203,1669.1567967720903,0.0,SW Asia,
000000000000000000bc,IS,Israel,0.0,1296.5416579802759,1296.5416579802759,0.0,0.0,0.0,0.0,0.0,0.0,1296.5416579802759,0.0,0.0,106.829809309665,106.829809309665,0.0,0.0,0.0,0.0,0.0,0.0,106.829809309665,0.0,0.0,SW Asia,
000000000000000000bd,SY,Syria,0.0,5210.635142864924,3176.3362349502545,2034.2989079146698,0.0,0.0,0.0,0.0,0.0,3176.3362349502545,2034.2989079146698,0.0,1698.7769331927454,1268.9766569545518,429.80027623819365,0.0,0.0,0.0,0.0,0.0,1268.9766569545518,429.80027623819365,0.0,SW Asia,
000000000000000000be,SY,Syria,0.0,0.5895286793802299,0.5895286793802299,0.0,0.0,0.0,0.0,0.0,0.0,0.5895286793802299,0.0,0.0,1.560041065309562,1.560041065309562,0.0,0.0,0.0,0.0,0.0,0.0,1.560041065309562,0.0,0.0,SW Asia,
000000000000000000bf,YM,Yemen,0.0,1.8216068018460006E7,3375517.843599442,7785288.911422941,7055261.263437623,0.0,0.0,0.0,0.0,3375517.843599442,7785288.911422941,7055261.263437623,9256434.224526007,1196884.7287043703,3521263.6615667245,4538285.834254911,0.0,0.0,0.0,0.0,1196884.7287043703,3521263.6615667245,4538285.834254911,SW Asia,
00000000000000000026,AS,Australia,1.2297979577710454,2.266029434725638E7,4287879.603202286,5042693.618795425,1.3329721125258667E7,15335.42732896078,3299.6195252663147,3551.6514998679654,8484.156303826501,4284579.98367702,5039141.967295556,1.332123696895484E7,5769698.357149786,1099926.0116196878,1286200.7546930425,3383571.5908370563,4801.945332738685,1860.8497801346819,797.5565056411951,2143.5390469628073,1098065.1618395532,1285403.1981874013,3381428.0517900935,Australia,
00000000000000000132,CR,Coral Sea Is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Australia,
0000000000000000006a,CU,Cuba,17.840556549541493,1.1888258365244027E7,2049581.413972141,4558555.764513291,5280121.186758595,42957.56141631827,20084.243944155198,19527.077441874375,3346.2400302886963,2029497.1700279857,4539028.687071417,5276774.946728306,294159.8241903217,155500.34258076813,-14240.28593977729,152899.7675493309,18963.266149300463,4758.961841810096,14610.885789423959,-406.58148193359375,150741.38073895805,-28851.171729201247,153306.3490312645,Caribbean,
0000000000000000006e,RQ,Puerto Rico,-2.0025666120382826,3960075.764652334,658837.8088503968,1983293.0318065395,1317944.9239953978,5335.9015998342675,247.04053880425136,2189.2243715831496,2899.6366894468665,658590.7683115925,1981103.8074349563,1315045.287305951,-117838.11436354209,-13199.578081471585,-1526.3828672541513,-103112.15341481635,317.96335626398087,-56.22858745685136,359.75316099907434,14.438782721757889,-13143.349494014734,-1886.1360282532255,-103126.5921975381,Caribbean,
0000000000000000006f,VQ,US Virgin Is,-0.0,110312.85354972322,24163.3613504873,86149.49219923592,0.0,0.0,0.0,0.0,0.0,24163.3613504873,86149.49219923592,0.0,-3270.520149650991,1492.6800835537388,-4763.20023320473,0.0,1.475854516029358,1.475854516029358,0.0,0.0,1491.2042290377094,-4763.20023320473,0.0,Caribbean,
00000000000000000070,VI,British Virgin Is,0.0,14762.87398799379,6291.4871442870835,8471.386843706705,0.0,0.0,0.0,0.0,0.0,6291.4871442870835,8471.386843706705,0.0,7933.375250356208,3001.9068669664844,4931.468383389723,0.0,0.0,0.0,0.0,0.0,3001.9068669664844,4931.468383389723,0.0,Caribbean,
00000000000000000071,AC,Antigua & Barbuda,-1.3378161904008659,79523.06843545384,19651.799264763187,59871.26917069065,0.0,335.8022779525641,335.8022779525641,0.0,0.0,19315.996986810624,59871.26917069065,0.0,14505.096213616622,4710.615953766268,9794.480259850354,0.0,-81.9421906267165,-81.9421906267165,0.0,0.0,4792.558144392984,9794.480259850354,0.0,Caribbean,
00000000000000000072,TB,St Barthelemy,0.0,6918.696088471835,986.9581624554669,5931.737926016368,0.0,0.0,0.0,0.0,0.0,986.9581624554669,5931.737926016368,0.0,3366.290635380601,583.3698483425318,2782.920787038069,0.0,0.0,0.0,0.0,0.0,583.3698483425318,2782.920787038069,0.0,Caribbean,
00000000000000000073,NL,Netherlands (Caribbean),0.0,13163.062902667487,9313.820176267227,3849.2427264002604,0.0,0.0,0.0,0.0,0.0,9313.820176267227,3849.2427264002604,0.0,9481.165279598357,7007.027692961605,2474.1375866367534,0.0,0.0,0.0,0.0,0.0,7007.027692961605,2474.1375866367534,0.0,Caribbean,
