system:index,cc,country,fpop_rate,p2000,p2000_a_1,p2000_a_2,p2000_a_3,p2000_f,p2000_f_1,p2000_f_2,p2000_f_3,p2000_nf_1,p2000_nf_2,p2000_nf_3,pdelt,pdelt_a_1,pdelt_a_2,pdelt_a_3,pdelt_f,pdelt_f_1,pdelt_f_2,pdelt_f_3,pdelt_nf_1,pdelt_nf_2,pdelt_nf_3,region,.geo
00000000000000000000,CD,Chad,0.0,8481508.144633988,1379675.4147123627,2497503.5217928602,4604329.208128765,0.0,0.0,0.0,0.0,1379675.4147123627,2497503.5217928602,4604329.208128765,5753105.290333043,909339.494967165,1933885.3087483242,2909880.486617553,0.0,0.0,0.0,0.0,909339.494967165,1933885.3087483242,2909880.486617553,Africa,
00000000000000000014,MI,Malawi,0.0,1.1641927293211546E7,5422302.788172659,4990800.642151466,1228823.862887421,0.0,0.0,0.0,0.0,5422302.788172659,4990800.642151466,1228823.862887421,6268496.017448714,2441290.487502101,2855817.2447550953,971388.2851915183,0.0,0.0,0.0,0.0,2441290.487502101,2855817.2447550953,971388.2851915183,Africa,
00000000000000000015,ZA,Zambia,0.0,1.085984272653195E7,2889299.6996630635,3613323.0388896912,4357219.987979196,0.0,0.0,0.0,0.0,2889299.6996630635,3613323.0388896912,4357219.987979196,5752124.202839917,1148374.5103620999,1633512.7768773376,2970236.9156004786,0.0,0.0,0.0,0.0,1148374.5103620999,1633512.7768773376,2970236.9156004786,Africa,
00000000000000000016,ZI,Zimbabwe,0.0,1.3235197511131685E7,3557991.4242088366,5035413.237478035,4641792.849444814,0.0,0.0,0.0,0.0,3557991.4242088366,5035413.237478035,4641792.849444814,3290671.1623587767,1367312.6598170658,1100451.2499669867,822907.2525747241,0.0,0.0,0.0,0.0,1367312.6598170658,1100451.2499669867,822907.2525747241,Africa,
00000000000000000017,BC,Botswana,0.0,1891185.396829451,464199.0068385957,779124.0757675064,647862.3142233489,0.0,0.0,0.0,0.0,464199.0068385957,779124.0757675064,647862.3142233489,568230.4458059054,270323.01497156627,190935.81218267017,106971.618651669,0.0,0.0,0.0,0.0,270323.01497156627,190935.81218267017,106971.618651669,Africa,
00000000000000000018,WA,Namibia,0.0,2054268.135731962,1361203.652929477,374189.6263009618,318874.8565015234,0.0,0.0,0.0,0.0,1361203.652929477,374189.6263009618,318874.8565015234,593377.5726521305,200510.56278422973,166398.95571330836,226468.05415459245,0.0,0.0,0.0,0.0,200510.56278422973,166398.95571330836,226468.05415459245,Africa,
00000000000000000019,AO,Angola,0.0,1.5255449341130015E7,4415028.563655355,3200970.2239550785,7639450.5535195805,0.0,0.0,0.0,0.0,4415028.563655355,3200970.2239550785,7639450.5535195805,1.0098796099006962E7,569064.5516305836,1784577.935439567,7745153.611936813,0.0,0.0,0.0,0.0,569064.5516305836,1784577.935439567,7745153.611936813,Africa,
0000000000000000001a,BY,Burundi,0.0,6705218.047596872,1180569.526359844,3873289.9818653585,1651358.539371669,0.0,0.0,0.0,0.0,1180569.526359844,3873289.9818653585,1651358.539371669,4411183.210671032,562292.5089240909,2146260.071809755,1702630.629937186,0.0,0.0,0.0,0.0,562292.5089240909,2146260.071809755,1702630.629937186,Africa,
0000000000000000001b,RW,Rwanda,0.0,8058861.122046947,1250590.2229340689,5465146.763851548,1343124.13526133,0.0,0.0,0.0,0.0,1250590.2229340689,5465146.763851548,1343124.13526133,3584854.7262104414,357084.49748085736,2444275.3289615423,783494.8997680421,0.0,0.0,0.0,0.0,357084.49748085736,2444275.3289615423,783494.8997680421,Africa,
0000000000000000001c,SF,South Africa,0.0,5.1103954210037425E7,1.3781495095257876E7,1.3836970381430546E7,2.3485488733349E7,0.0,0.0,0.0,0.0,1.3781495095257876E7,1.3836970381430546E7,2.3485488733349E7,1.0910442925910575E7,642169.1808543378,2239086.830946082,8029186.914110157,0.0,0.0,0.0,0.0,642169.1808543378,2239086.830946082,8029186.914110157,Africa,
