country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
El Sal.,El Salvador,ES,3630.054713,4848.372311,0,0,0,0,1589.891685,592.1294939,0,,Central America,
Guat.,Guatemala,GT,11204.81583,65071.56004,2740.391859,0,0,0,4689.922047,2664.316102,1727.624389,,Central America,
Pan.,Panama,PM,5857.220527,475.3535867,0,0,0,0,2229.44828,1152.286382,2351.126765,,Central America,
C.R.,Costa Rica,CS,2849.537669,0,0,0,0,0,628.9632204,0,0,,Central America,
Nic.,Nicaragua,NU,26675.14152,24747.72716,0,0,0,0,4661.351109,1739.479102,0,,Central America,
Hond.,Honduras,HO,9528.295462,2552.429838,13.31714153,0,0,0,5715.345403,1436.102204,0,,Central America,
Belz.,Belize,BH,9444.114378,746.0607769,167.8571719,0,0,0,2532.909557,292.0406919,157.0515537,,Central America,
