country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Austl.,Australia,AS,22245.30955,16249.59196,71770.87533,0,0,0,13477.93837,16408.37054,74156.07781,,Australia,
Coral Sea Is.,Coral Sea Is,CR,0,0,0,0,0,0,0,0,0,,Australia,
