country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Fr. S. & Ant. Lands,French S & Antarctic Lands,FS,0,0,0,0,0,0,0,0,0,,Indian Ocean,
Reu.,Reunion,RE,0,0,0,0,0,0,0,0,0,,Indian Ocean,
Mauris.,Mauritius,MP,0,0,0,0,0,0,0,0,0,,Indian Ocean,
Sey.,Seychelles,SE,0,0,0,0,0,0,0,0,0,,Indian Ocean,
Br. Ind. Oc. Terr.,British Indian Ocean Terr,IO,0,0,0,0,0,0,0,0,0,,Indian Ocean,
He. I. & McD. Is.,Heard I & McDonald Is,HM,0,0,0,0,0,0,0,0,0,,Indian Ocean,
Christ. I.,Christmas I,KT,0,0,0,0,0,0,0,0,0,,Indian Ocean,
Cocos Is.,Cocos (Keeling) Is,CK,0,0,0,0,0,0,0,0,0,,Indian Ocean,
