country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Turkm.,Turkmenistan,TX,3886.28264,2231.476378,0,0,0,0,13743.54643,990.5613698,2.218952118,,Central Asia,
Kyr.,Kyrgyzstan,KG,983.1962509,10329.81803,2065.082376,0,0,0,4733.867444,5603.870364,1960.284234,,Central Asia,
Kaz.,Kazakhstan,KZ,149030.7704,311071.3951,209622.033,0,0,0,205834.9302,130676.6242,77328.11887,,Central Asia,
Taj.,Tajikistan,TI,2237.560964,14036.50998,2148.266703,0,0,0,4165.36418,2200.805818,1869.275266,,Central Asia,
Uzb.,Uzbekistan,UZ,18094.33703,13088.20417,12425.41866,0,0,0,17296.70133,11914.67906,4647.56133,,Central Asia,
