country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
Can.,Canada,CA,22939.21914,17937.96432,124412.5215,0,0,0,6.381439035,0,0,,North America,
Can.,Canada,CA,0,0,0,0,0,0,0,0,0,,North America,
Can.,Canada,CA,72847.36366,5137.072229,16474.45057,0,0,0,0.409527623,0,0,,North America,
Can.,Canada,CA,0,0,0,0,0,0,0,0,0,,North America,
Can.,Canada,CA,0,0,0,0,0,0,0,0,0,,North America,
Can.,Canada,CA,0,0,0,0,0,0,0,0,0,,North America,
Can.,Canada,CA,39.96120693,0,0,0,0,0,0,0,0,,North America,
Can.,Canada,CA,92.53199109,0,0,0,0,0,0,0,0,,North America,
