country_abbrev,country_name,countrycode,floodpop_ghsl_1,floodpop_ghsl_2,floodpop_ghsl_3,floodpop_gridpop3_1,floodpop_gridpop3_2,floodpop_gridpop3_3,floodpop_hrsl_1,floodpop_hrsl_2,floodpop_hrsl_3,id,world_region,.geo
U.S.,United States,US,417292.2888,407381.3204,680281.8576,0,0,0,354598.0079,379191.8846,660915.8125,,North America,
U.S.,United States,US,183500.1618,138806.6585,393359.9057,0,0,0,148982.2263,129854.905,392016.7873,,North America,
U.S.,United States,US,9477.35577,10190.85437,4736.766987,0,0,0,8287.176054,9651.826864,5568.107435,,North America,
U.S.,United States,US,21612.42398,54181.69385,298183.4197,0,0,0,19597.59428,54343.3263,296946.887,,North America,
