,country_name,iso3c,iso2c,world_region,floodpop_ghsl_rural,floodpop_ghsl_semiurban,floodpop_ghsl_urban,floodpop_gridpop3_rural,floodpop_gridpop3_semiurban,floodpop_gridpop3_urban,floodpop_hrsl_rural,floodpop_hrsl_semiurban,floodpop_hrsl_urban,floodpop_ghsl_tot,floodpop_gridpop3_tot,floodpop_hrsl_tot,bias_factor
40,Croatia,HRV,HR,Europe,17779.2926,7737.712378,7.040507404,0,0,0,14920.14128,6147.60112,221.9986847,25524.04549,7.040507404,21289.74108,0.834105279
41,Czechia,CZE,EZ,Europe,18330.50304,34243.93114,16582.0241,0,0,0,15656.30054,22678.90652,10524.15814,69156.45828,16582.0241,48859.3652,0.706504735
42,Dem Rep of the Congo,COD,CG,Africa,49658.18291,38920.69645,32246.49022,34268.71405,6888.634317,37.02526665,46850.59744,8596.683352,9682.609653,120825.3696,73403.83859,65129.89045,0.539041516
43,Djibouti,DJI,DJ,Africa,454.4603203,3567.381138,16685.83101,0,0,0,2490.072201,90.36311519,5903.95056,20707.67247,16685.83101,8484.385876,0.40972185
44,Dominica,DMA,DO,Caribbean,0,895.661705,0,0,0,0,0,177.9548675,0,895.661705,0,177.9548675,0.198685359
45,Dominican Republic,DOM,DR,Caribbean,19969.36029,11901.53825,26179.57213,0,0,0,6390.388175,2028.512253,21099.8195,58050.47067,26179.57213,29518.71993,0.508500958
46,Ecuador,ECU,EC,South America,19943.90496,40708.02393,13518.54515,0,0,0,70241.84127,2647.939668,13539.60244,74170.47404,13518.54515,86429.38338,1.165280181
47,Egypt,EGY,EG,Africa,25910.95345,79580.70772,133715.4057,0,0,0,112407.6264,36755.1036,96627.62416,239207.0669,133715.4057,245790.3542,1.027521291
48,El Salvador,SLV,ES,Central America,3630.054713,4848.372311,0,0,0,0,1589.891685,592.1294939,0,8478.427024,0,2182.021179,0.257361557
49,Equatorial Guinea,GNQ,EK,Africa,0,0,0,0,0,0,0,0,0,0,0,0,NA
50,Eritrea,ERI,ER,Africa,874.3066853,374.3112427,796.8261001,0,0,0,3278.154739,1945.710997,349.826133,2045.444028,796.8261001,5573.691869,2.724930036
51,Estonia,EST,EN,Europe,10899.11906,5228.306011,7269.113109,0,0,0,10330.50846,3945.845151,8441.956314,23396.53818,7269.113109,22718.30993,0.971011598
52,Ethiopia,ETH,ET,Africa,43806.21301,191915.5088,225143.393,0,0,0,31796.14329,2651.600147,3878.776401,460865.1148,225143.393,38326.51984,0.08316212
53,Fed States of Micronesia,FSM,FM,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
54,Fiji,FJI,FJ,Oceania,1728.47607,0,0,0,0,0,632.3253371,3.432310638,0,1728.47607,0,635.7576477,0.367813971
55,France,FRA,FR,Europe,138850.491,97275.57777,511533.5317,0,0,0,66676.32242,75333.87276,540397.9015,747659.6005,511533.5317,682408.0967,0.912725652
56,French Guiana,GUF,FG,South America,0,0,0,0,0,0,0,0,0,0,0,0,NA
57,French Polynesia,PYF,FP,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
58,Gabon,GAB,GB,Africa,0,0,0,0,0,0,0,0,0,0,0,0,NA
59,"Gambia, The",GMB,GA,Africa,5164.685977,5127.1812,994.8286888,0,0,0,927.9232138,3333.011376,489.1927814,11286.69587,994.8286888,4750.127371,0.420860757
60,Germany,DEU,GM,Europe,77460.00868,94710.54288,234934.6209,0,0,0,58277.27923,81681.24509,235171.3522,407105.1725,234934.6209,375129.8765,0.921456916
61,Ghana,GHA,GH,Africa,179403.6057,396162.4414,44878.40207,37494.67787,25425.92556,20939.19683,66973.34838,18059.91823,13247.4331,620444.4492,107799.0055,98280.69971,0.158403705
62,Greece,GRC,GR,Europe,51359.43038,38298.64264,66508.98295,0,0,0,39804.83528,33656.68488,65882.67915,156167.056,66508.98295,139344.1993,0.892276533
63,Grenada,GRD,GJ,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
64,Guadeloupe,GLP,GP,Caribbean,192.4065208,1048.346772,0,0,0,0,227.3758798,962.4190571,0,1240.753293,0,1189.794937,0.958929502
65,Guam,GUM,GQ,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
66,Guatemala,GTM,GT,Central America,11204.81583,65071.56004,2740.391859,0,0,0,4689.922047,2664.316102,1727.624389,79016.76773,2740.391859,9081.862538,0.11493589
67,Guinea,GIN,GV,Africa,31182.29576,54904.18801,14848.35191,0,26.59132123,0,8784.209909,4804.623126,961.498463,100934.8357,14874.94323,14550.3315,0.144155696
