system:index,country,sum,.geo
257,Russia,1.378756830705881E8,
34,Canada,3.926028603137255E7,
7,Antarctica,0.0,
86,Indonesia,2.4265966870588207E8,
39,China,1.355779679470589E9,
85,India,1.5029075288627458E9,
298,United States,3.3721787932549065E8,
230,Mongolia,3428817.6549019585,
11,Australia,2.7837833109803915E7,
227,Mexico,1.3503578076470605E8,
26,Brazil,2.0909141997647062E8,
38,Chile,1.901976080784314E7,
9,Argentina,4.405027313725492E7,
252,Portugal,9847952.886274504,
271,Spain,4.560191685098039E7,
222,Mali,2.587416370980392E7,
225,Mauritania,4938675.882352936,
4,Algeria,4.245515047058821E7,
212,Libya,7910555.537254916,
276,Sudan,6.439384762352946E7,
37,Chad,1.8328130313725498E7,
58,Ethiopia,1.2396795759607843E8,
100,Kenya,5.966222195294119E7,
308,Zaire,1.0623860289803924E8,
6,Angola,3.1573923380392145E7,
270,South Africa,5.716881342352948E7,
232,Mozambique,3.2819415701960772E7,
218,Madagascar,3.2379107356862757E7,
233,Myanmar (Burma),4.9736162588235304E7,
303,Vietnam,9.573220091764708E7,
220,Malaysia,3.4000304835294105E7,
269,Somalia,1.2657632482352937E7,
261,Saudi Arabia,4.155840791764703E7,
245,Pakistan,2.4091838756470603E8,
2,Afghanistan,5.177707990980394E7,
87,Iran,8.757621242745085E7,
291,Turkey,8.473800300000003E7,
300,Uzbekistan,3.1226522996078443E7,
99,Kazakhstan,1.9020862278431382E7,
73,Greenland,12707.400000000001,
97,Japan,1.1044092750196072E8,
40,Colombia,5.663321127843145E7,
52,Ecuador,1.734267621176472E7,
249,Peru,3.1942195909803934E7,
238,New Zealand,4242132.196078432,
59,Falkland Islands (Islas Malvinas),2309.5372549019608,
231,Morocco,3.494545064313725E7,
304,Western Sahara,410389.75686274515,
77,Guinea,1.3218406972549018E7,
29,Burkina Faso,2.724905331764707E7,
94,Ivory Coast,2.5172973529411767E7,
71,Ghana,3.454374575686276E7,
241,Nigeria,2.4935056763921583E8,
36,Central African Republic,5884154.55686275,
33,Cameroon,2.712973689019609E7,
240,Niger,2.992739287843135E7,
93,Italy,5.748649529019611E7,
290,Tunisia,1.1307584411764707E7,
53,Egypt,1.0302880082745123E8,
98,Jordan,1.3666052450980395E7,
282,Syria,2.7749663011764724E7,
88,Iraq,4.968862603529411E7,
56,Eritrea,8515127.11372549,
294,Uganda,5.9705292647058815E7,
285,"Tanzania, United Republic of",7.07195433764706E7,
219,Malawi,2.584731928235293E7,
309,Zambia,2.1284598968627438E7,
42,Congo,7345803.737254899,
234,Namibia,2907539.352941178,
25,Botswana,2360002.9529411756,
310,Zimbabwe,1.3312043949019609E7,
286,Thailand,7.31732553529412E7,
207,Laos,7870468.050980385,
250,Philippines,1.0614541260000013E8,
