system:index,country,sum,.geo
204,"Korea, Republic of",4.626286037254902E7,
206,Kyrgyzstan,6443686.97254902,
284,Tajikistan,8108570.113725488,
235,Nepal,4.2325707917647064E7,
221,Maldives,1439.827450980392,
306,Yemen,3.908251985882355E7,
244,Oman,3918536.2235294096,
292,Turkmenistan,6246003.701960784,
295,Ukraine,4.0530295156862795E7,
243,Norway,4912710.086274508,
280,Sweden,9839546.717647063,
62,Finland,5420934.447058826,
251,Poland,3.768659240784311E7,
256,Romania,1.9694591188235294E7,
70,Germany,8.125149898431374E7,
63,France,6.768259107058823E7,
297,United Kingdom,6.422593618039215E7,
203,"Korea, Peoples Republic of",2.4665501423529394E7,
247,Papua New Guinea,8590923.286274511,
301,Vanuatu,223440.83529411769,
302,Venezuela,3.522170131764703E7,
79,Guyana,745860.537254902,
45,Cuba,9687038.109803928,
23,Bolivia,1.2605577690196075E7,
248,Paraguay,8193091.905882354,
262,Senegal,1.6466498411764707E7,
211,Liberia,7292510.458823534,
287,Togo,8289545.211764705,
20,Benin,1.336834612156863E7,
55,Equatorial Guinea,972240.0352941178,
72,Greece,9374319.941176478,
92,Israel,1.023989887843137E7,
66,Gabon,1644249.243137255,
32,Cambodia,1.6825465207843136E7,
283,Taiwan,2.1082276031372543E7,
16,Bangladesh,1.7449792023921564E8,
22,Bhutan,1423828.733333333,
272,Sri Lanka,2.1908124654901948E7,
296,United Arab Emirates,1.3123988258823536E7,
13,Azerbaijan,9773686.796078442,
69,Georgia,3801005.647058823,
10,Armenia,2965753.1372549017,
28,Bulgaria,6709697.949019611,
278,Svalbard,0.0,
31,Byelarus,8870990.466666661,
208,Latvia,1899833.7647058824,
214,Lithuania,3863564.796078431,
307,Yugoslavia,1.029761165882353E7,
44,Croatia,3765538.3490196094,
266,Slovakia,5630542.929411767,
83,Hungary,9495682.023529414,
47,Czech Republic,1.125307587450981E7,
12,Austria,9052442.364705881,
281,Switzerland,8196137.078431373,
48,Denmark,5059346.741176468,
18,Belgium,1.2123515956862746E7,
90,Ireland,6744598.701960784,
84,Iceland,346129.14901960787,
237,New Caledonia,223846.91764705884,
268,Solomon Islands,828401.5294117648,
14,"Bahamas, The",44787.59607843136,
64,French Guiana,288301.0901960784,
277,Suriname,553889.8588235293,
51,Dominican Republic,1.1236669372549014E7,
76,Guatemala,2.020182259215686E7,
239,Nicaragua,6668935.976470588,
81,Honduras,9759306.22745098,
246,Panama,4280401.862745098,
299,Uruguay,3191838.3333333335,
35,Cape Verde,277853.662745098,
78,Guinea-Bissau,1892022.3450980394,
67,"Gambia, The",2046127.9294117645,
264,Sierra Leone,8252589.482352943,
3,Albania,3203584.0313725485,
217,Macedonia,2217177.1882352936,
46,Cyprus,1165979.0156862745,
209,Lebanon,3892899.537254904,
49,Djibouti,891919.6392156864,
41,Comoros,671408.862745098,
30,Burundi,1.319091233333333E7,
258,Rwanda,1.6657639584313728E7,
210,Lesotho,2513465.4784313724,
89,Iraq-Saudi Arabia Neutral Zone,59482.4705882353,
205,Kuwait,3555769.5215686266,
228,Moldova,2848514.0000000014,
57,Estonia,1091725.0196078436,
24,Bosnia and Herzegovina,3625311.231372549,
267,Slovenia,2309197.7098039207,
236,Netherlands,1.7184897035294123E7,
61,Fiji,820190.0431372549,
288,Tonga,29203.486274509803,
80,Haiti,1.031105461176471E7,
95,Jamaica,2582209.996078433,
19,Belize,378812.019607843,
54,El Salvador,6307482.647058821,
43,Costa Rica,5812854.501960781,
260,Sao Tome and Principe,139895.16470588237,
279,Swaziland,1425005.1803921566,
27,Brunei,406501.07058823545,
254,Qatar,2165596.733333333,
305,Western Samoa,110473.07843137255,
253,Puerto Rico,3008674.5607843134,
275,St. Vincent and the Grenadines,67554.32156862745,
289,Trinidad and Tobago,995245.7647058823,
201,Kerguelen,0.0,
68,Gaza Strip,950043.3137254902,
255,Reunion,826484.5960784314,
226,Mauritius,1118033.9098039216,
263,Seychelles,26069.733333333334,
82,Hong Kong,8297663.180392156,
15,Bahrain,1054718.6666666665,
215,Luxembourg,626004.850980392,
91,Isle of Man,67146.00392156863,
96,Jan Mayen,0.0,
65,French Polynesia,166947.75294117647,
8,Antigua and Barbuda,68411.67450980392,
75,Guadeloupe,271885.62352941174,
293,Turks and Caicos Islands,309.66274509803924,
5,Andorra,58125.290196078444,
223,Malta,188142.63921568624,
265,Singapore,3485528.42745098,
60,Faroe Islands,22642.54117647059,
242,Northern Mariana Islands,120078.46666666666,
202,Kiribati,2810.419607843137,
273,St. Christopher-Nevis,19446.450980392154,
74,Grenada,75160.32549019608,
274,St. Lucia,121122.04705882352,
17,Barbados,114215.33333333334,
224,Martinique,275169.168627451,
50,Dominica,52533.600000000006,
259,San Marino,24803.333333333332,
216,Macau,308672.0,
213,Liechtenstein,33889.01176470588,
21,Bermuda,5366.980392156863,
229,Monaco,5652.266666666666,
