system:index,country,sum,.geo
253,Puerto Rico,3227389.2588235284,
275,St. Vincent and the Grenadines,65459.78431372548,
289,Trinidad and Tobago,974034.0274509804,
201,Kerguelen,0.0,
68,Gaza Strip,703331.6470588236,
255,Reunion,687052.1137254903,
226,Mauritius,1011324.9607843136,
263,Seychelles,24143.913725490194,
82,Hong Kong,7103593.376470587,
15,Bahrain,546133.1411764706,
215,Luxembourg,479264.8941176471,
91,Isle of Man,59741.4156862745,
96,Jan Mayen,0.0,
65,French Polynesia,138792.23529411765,
8,Antigua and Barbuda,56435.19215686274,
75,Guadeloupe,248112.98823529412,
293,Turks and Caicos Islands,325.65098039215684,
5,Andorra,51289.42745098039,
223,Malta,173074.7568627451,
265,Singapore,2886406.8901960785,
60,Faroe Islands,21704.494117647057,
242,Northern Mariana Islands,98186.56470588237,
202,Kiribati,1708.9254901960783,
273,St. Christopher-Nevis,16041.403921568626,
74,Grenada,68684.35294117648,
274,St. Lucia,103814.23529411765,
17,Barbados,104437.09019607844,
224,Martinique,256908.29411764708,
50,Dominica,48495.47843137255,
259,San Marino,23345.466666666667,
216,Macau,258471.05882352943,
213,Liechtenstein,30598.14117647059,
21,Bermuda,5199.356862745098,
229,Monaco,4901.850980392157,
