iso2c,country,fpop_rate,pop2000,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop2000_flood,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,popdelta,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pdelta_flood,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,region,iso3c,bias_factor,hrsl_data,region_mean_bias,region_sd_bias
SA,Saudi Arabia,0,23160099.51,1970382.533,4848348.876,16341368.1,0,0,0,0,1970382.533,4848348.876,16341368.1,11037780.94,1125918.231,2507200.305,7404662.407,0,0,0,0,1125918.231,2507200.305,7404662.407,Western Asia,SAU,0.53531582,Y,0.77599626,0.556139069
WE,West Bank,0,2491145.294,214668.5786,953426.0928,1323050.623,0,0,0,0,214668.5786,953426.0928,1323050.623,974951.1414,119333.3672,433403.6243,422214.1499,0,0,0,0,119333.3672,433403.6243,422214.1499,Western Asia,PSE,0.77599626,N,0.77599626,0.556139069
WE,West Bank,0,505.2063211,0,0,505.2063211,0,0,0,0,0,0,505.2063211,36.86375016,0,0,36.86375016,0,0,0,0,0,0,36.86375016,Western Asia,PSE,0.77599626,N,0.77599626,0.556139069
IZ,Iraq,0,28327411.95,2151162.534,6101296.629,20074952.79,0,0,0,0,2151162.534,6101296.629,20074952.79,15453848.09,1953217.103,4463740.47,9036890.52,0,0,0,0,1953217.103,4463740.47,9036890.52,Western Asia,IRQ,0.382738874,Y,0.77599626,0.556139069
SY,Syria,57.83955384,20009187.39,4117665.367,6992674.228,8898847.792,67.71523005,67.28459675,0.430633307,0,4117598.082,6992673.797,8898847.792,2633972.121,663109.2254,1022550.998,948311.8974,515.5763824,363.4101634,152.166219,0,662745.8152,1022398.832,948311.8974,Western Asia,SYR,0.77599626,N,0.77599626,0.556139069
LE,Lebanon,2.479859592,3849768.604,522484.0164,1191361.677,2135922.91,7.239134353,0.568130001,0,6.671004351,522483.4483,1191361.677,2135916.239,3089235.878,219914.2665,848630.8238,2020690.788,14.4055609,-0.103296382,0,14.50885728,219914.3698,848630.8238,2020676.279,Western Asia,LBN,0.824804894,Y,0.77599626,0.556139069
SY,Syria,0,13276.53458,8979.58798,4296.946604,0,0,0,0,0,8979.58798,4296.946604,0,6237.719699,3013.095788,3224.623911,0,0,0,0,0,3013.095788,3224.623911,0,Western Asia,SYR,0.77599626,N,0.77599626,0.556139069
SY,Syria,0,27158.80244,22557.789,4601.013449,0,0,0,0,0,22557.789,4601.013449,0,10915.46098,9246.304188,1669.156797,0,0,0,0,0,9246.304188,1669.156797,0,Western Asia,SYR,0.77599626,N,0.77599626,0.556139069
IS,Israel,0,1296.541658,1296.541658,0,0,0,0,0,0,1296.541658,0,0,106.8298093,106.8298093,0,0,0,0,0,0,106.8298093,0,0,Western Asia,ISR,0.77599626,N,0.77599626,0.556139069
SY,Syria,0,5210.635143,3176.336235,2034.298908,0,0,0,0,0,3176.336235,2034.298908,0,1698.776933,1268.976657,429.8002762,0,0,0,0,0,1268.976657,429.8002762,0,Western Asia,SYR,0.77599626,N,0.77599626,0.556139069
SY,Syria,0,0.589528679,0.589528679,0,0,0,0,0,0,0.589528679,0,0,1.560041065,1.560041065,0,0,0,0,0,0,1.560041065,0,0,Western Asia,SYR,0.77599626,N,0.77599626,0.556139069
YM,Yemen,0,18216068.02,3375517.844,7785288.911,7055261.263,0,0,0,0,3375517.844,7785288.911,7055261.263,9256434.225,1196884.729,3521263.662,4538285.834,0,0,0,0,1196884.729,3521263.662,4538285.834,Western Asia,YEM,0.77599626,N,0.77599626,0.556139069
AS,Australia,0,22660294.35,4287879.603,5042693.619,13329721.13,0,0,0,0,4287879.603,5042693.619,13329721.13,5769698.357,1099926.012,1286200.755,3383571.591,0,0,0,0,1099926.012,1286200.755,3383571.591,Australia and New Zealand,AUS,0.943560094,Y,0.666410932,0.363857824
CU,Cuba,0,11888258.37,2049581.414,4558555.765,5280121.187,0,0,0,0,2049581.414,4558555.765,5280121.187,294159.8242,155500.3426,-14240.28594,152899.7675,0,0,0,0,155500.3426,-14240.28594,152899.7675,Caribbean,CUB,0.644974975,N,0.644974975,0.57296489
RQ,Puerto Rico,0,3960075.765,658837.8089,1983293.032,1317944.924,0,0,0,0,658837.8089,1983293.032,1317944.924,-117838.1144,-13199.57808,-1526.382867,-103112.1534,0,0,0,0,-13199.57808,-1526.382867,-103112.1534,Caribbean,PRI,0.921622718,Y,0.644974975,0.57296489
