index,country,year,month,day,area,exposed
1586.0,Australia,2000,2,18,3.167332529765625E8,38.29882954561617
1587.0,Madagascar,2000,2,17,2.2850128659492952E8,4594.5619955767015
1587.0,Comoros,2000,2,17,0.0,0.0
1595.0,Turkey,2000,4,5,0.0,0.0
1595.0,Italy,2000,4,5,0.0,0.0
1595.0,Ukraine,2000,4,5,1.8738832869163603E7,28.90140002965927
1595.0,Poland,2000,4,5,4.330111525484069E7,2305.5433003120124
1595.0,Romania,2000,4,5,1.2452695315487131E7,66.02995752729475
1595.0,Germany,2000,4,5,0.0,0.0
1595.0,Bulgaria,2000,4,5,1522019.9672794119,587.1638488769531
1595.0,Byelarus,2000,4,5,5730307.246292892,28.089115142822266
1595.0,Lithuania,2000,4,5,0.0,0.0
1595.0,Yugoslavia,2000,4,5,1418749.3515625,77.91121709346771
1595.0,Croatia,2000,4,5,1584076.82421875,0.0
1595.0,Slovakia,2000,4,5,0.0,0.0
1595.0,Hungary,2000,4,5,3916724.04296875,0.0
1595.0,Czech Republic,2000,4,5,0.0,0.0
1595.0,Austria,2000,4,5,0.0,0.0
1595.0,Albania,2000,4,5,0.0,0.0
1595.0,Macedonia,2000,4,5,0.0,0.0
1595.0,Moldova,2000,4,5,0.0,0.0
1595.0,Bosnia and Herzegovina,2000,4,5,134150.62109375,0.0
1595.0,Slovenia,2000,4,5,302898.25,0.0
1614.0,China,2000,7,11,0.0,0.0
1614.0,Myanmar (Burma),2000,7,11,0.0,0.0
1614.0,Vietnam,2000,7,11,1.0751946612623928E9,117947.97908716847
1614.0,Thailand,2000,7,11,9.414728526513481E7,6414.083877607917
1614.0,Laos,2000,7,11,236752.16015625,0.0
1614.0,Cambodia,2000,7,11,3.1528896638929706E9,420396.7936624657
1627.0,Russia,2000,8,30,2.9371613924223346E8,27254.10076998075
1627.0,China,2000,8,30,2.5719084831461397E8,190774.8495121167
1627.0,Mongolia,2000,8,30,0.0,0.0
1627.0,Japan,2000,8,30,0.0,0.0
1627.0,"Korea, Republic of",2000,8,30,3.909861814085478E7,196759.38557875494
1627.0,"Korea, Peoples Republic of",2000,8,30,1.5032321210557598E8,372276.6389847895
1631.0,China,2000,9,1,1.02194046046875E8,18.638065338134766
1631.0,Vietnam,2000,9,1,0.0,0.0
1631.0,Laos,2000,9,1,0.0,0.0
1631.0,Hong Kong,2000,9,1,57557.703125,0.0
1631.0,Macau,2000,9,1,0.0,0.0
1641.0,China,2000,9,18,5.044579321412378E7,49.061471309921906
1641.0,India,2000,9,18,8.090448131787788E9,3974379.153695714
1641.0,Myanmar (Burma),2000,9,18,0.0,0.0
1641.0,Pakistan,2000,9,18,0.0,0.0
1641.0,Nepal,2000,9,18,6.009497024430147E7,2876.1712921634903
1641.0,Bangladesh,2000,9,18,7.069790711399082E9,3504400.493492709
1641.0,Bhutan,2000,9,18,2864091.7578125,7.28357551433146
1725.0,Russia,2001,5,12,3.037516414576768E10,49950.431442585344
1725.0,China,2001,5,12,3.3071086619140625E8,1650.6511751264334
1725.0,Mongolia,2001,5,12,2.8612510151986825E8,14.324285883726734
1725.0,Kazakhstan,2001,5,12,4.438053124943811E9,4245.30912591517
1747.0,India,2001,7,8,4.601483524592677E8,207528.6534697189
1747.0,Bangladesh,2001,7,8,4926884.91796875,905.7636108398438
1772.0,Sudan,2001,8,6,2.033820973664369E8,255.63327610875098
1772.0,Ethiopia,2001,8,6,5.35429200859375E7,0.0
1772.0,Kenya,2001,8,6,0.0,0.0
1772.0,Zaire,2001,8,6,0.0,0.0
1772.0,Saudi Arabia,2001,8,6,0.0,0.0
1772.0,Central African Republic,2001,8,6,0.0,0.0
1772.0,Egypt,2001,8,6,1.1276878325212317E9,11594.158211834185
1772.0,Jordan,2001,8,6,0.0,0.0
1772.0,Eritrea,2001,8,6,0.0,0.0
1772.0,Uganda,2001,8,6,0.0,0.0
